State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
TX,Mills,1946,2217,271,2505,502,15109,666,1038,1087,620,19.5,30.4,31.9,18.2
GA,Mitchell,942,4935,3993,8962,1406,10586,3873,5842,3900,1696,25.3,38.2,25.5,11.1
IA,Mitchell,1624,3677,2053,5822,1180,10586,737,2908,2363,1288,10.1,39.9,32.4,17.7
KS,Mitchell,1907,2454,547,3039,543,10586,179,1366,1581,1056,4.3,32.7,37.8,25.3
NC,Mitchell,5223,7090,1867,9041,797,10586,1721,3744,3580,2091,15.5,33.6,32.1,18.8
TX,Mitchell,1773,2170,397,2579,564,10586,1225,2152,1711,681,21.2,37.3,29.7,11.8
IA,Monona,1841,3248,1407,4728,727,8615,488,2541,2302,1067,7.6,39.7,36,16.7
AL,Monroe,1692,6147,4455,10668,935,7707,2409,6805,3464,2078,16.3,46.1,23.5,14.1
AR,Monroe,398,1545,1147,2816,596,7707,1168,2199,1205,537,22.9,43,23.6,10.5
GA,Monroe,6672,11057,4385,15590,1628,7707,2858,6461,4724,5008,15,33.9,24.8,26.3
IN,Monroe,-17790,22071,39861,63151,9710,7707,6525,18205,20567,37962,7.8,21.9,24.7,45.6
IA,Monroe,1897,2975,1078,4088,838,7707,639,2173,1644,885,12,40.7,30.8,16.6
MI,Monroe,19735,52710,32975,87148,8264,7707,9209,37772,37731,20036,8.8,36.1,36,19.1
MO,Monroe,2541,3477,936,4483,580,7707,644,2957,1735,786,10.5,48.3,28.3,12.8
NY,Monroe,-80085,145661,225746,380983,48164,7707,49470,122362,146393,192281,9.7,24,28.7,37.7
PA,Monroe,-5334,38726,44060,83829,8434,7707,12284,40893,34046,28147,10.6,35.4,29.5,24.4
TN,Monroe,13019,16783,3764,20797,3975,7707,6822,13004,8401,4142,21.1,40.2,26,12.8
WV,Monroe,3723,5068,1345,6490,757,7707,1647,5210,1741,1377,16.5,52.2,17.5,13.8
WI,Monroe,5342,13775,8433,22611,4094,7707,2973,11445,10134,6112,9.7,37.3,33,19.9
AL,Montgomery,-31218,33311,64529,99139,19076,9917,21646,38289,41976,48131,14.4,25.5,28,32.1
AR,Montgomery,2315,3046,731,3873,481,9917,1461,2450,2075,722,21.8,36.5,30.9,10.8
GA,Montgomery,1980,2960,980,3967,665,9917,1093,2330,1703,842,18.3,39,28.5,14.1
IN,Montgomery,8446,12659,4213,17198,3598,9917,2718,10707,7793,4687,10.5,41.3,30.1,18.1
IA,Montgomery,2076,3659,1583,5327,922,9917,700,2621,2505,1232,9.9,37.1,35.5,17.5
KS,Montgomery,6621,9768,3147,13177,703,9917,2502,6455,9201,4051,11.3,29.1,41.4,18.2
MD,Montgomery,-318347,101222,419569,533743,59155,9917,62517,94875,135383,421720,8.7,13.3,18.9,59
MO,Montgomery,3257,4465,1208,5772,550,9917,1294,3656,2098,1121,15.8,44.8,25.7,13.7
NY,Montgomery,4768,12745,7977,21134,2698,9917,4852,12028,11357,5976,14.2,35.2,33.2,17.5
NC,Montgomery,4084,8411,4327,12849,2470,9917,3933,6628,5637,2795,20.7,34.9,29.7,14.7
PA,Montgomery,-134051,185460,319511,510157,44145,9917,33289,137292,124775,280456,5.8,23.8,21.7,48.7
TN,Montgomery,9715,42187,32472,76758,11861,9917,9090,35180,43848,32983,7.5,29.1,36.2,27.2
TX,Montgomery,119005,193382,74377,271451,32894,9917,45597,80427,109691,125054,12.6,22.3,30.4,34.7
IA,Muscatine,1451,10823,9372,20671,4015,42664,3544,9908,8817,6283,12.4,34.7,30.9,22
IA,O'Brien,4292,5861,1569,7551,1726,13753,738,3650,3314,1910,7.7,38,34.5,19.9
IA,Osceola,2089,2690,601,3328,655,5958,468,1648,1387,772,10.9,38.5,32.4,18.1
MI,Osceola,5714,8928,3214,12329,865,5958,1914,7187,4894,2242,11.8,44.3,30.1,13.8
IA,Page,3233,5319,2086,7528,1524,15107,1014,3854,3888,2374,9.1,34.6,34.9,21.3
IA,Palo Alto,1851,3370,1519,4958,938,8886,410,1816,2473,1569,6.5,29,39.5,25
IA,Plymouth,6998,10492,3494,14188,3565,25177,1180,5664,6391,3528,7,33.8,38.1,21
MA,Plymouth,-52403,121227,173630,301816,36207,25177,25173,99134,100674,130354,7.1,27.9,28.3,36.7
IA,Pocahontas,1893,2826,933,3823,793,6619,426,1916,1893,729,8.6,38.6,38.1,14.7
WV,Pocahontas,1848,2895,1047,4008,359,6619,1017,3095,1337,1065,15.6,47.5,20.5,16.3
AR,Polk,5789,7035,1246,8490,1444,490161,2166,5275,4789,1872,15.4,37.4,34,13.3
GA,Polk,9930,13587,3657,17396,3443,490161,5737,10864,7472,3345,20.9,39.6,27.3,12.2
IA,Polk,-39450,106800,146250,258755,48135,490161,26653,77890,95824,113109,8.5,24.8,30.6,36.1
MN,Polk,4426,9865,5439,15594,3119,490161,1726,6837,7522,5115,8.1,32.3,35.5,24.1
MO,Polk,8965,11850,2885,15064,3110,490161,2522,7499,6072,4111,12.5,37.1,30.1,20.3
NC,Polk,3171,7689,4518,12358,901,490161,1433,4108,5248,5014,9.1,26,33.2,31.7
OR,Polk,815,23732,22917,48291,0,490161,4993,12543,18931,15728,9.6,24,36.3,30.1
TN,Polk,5300,6792,1492,8360,1440,490161,2402,4772,3680,1344,19.7,39.1,30.2,11
TX,Polk,13186,18573,5387,24181,1296,490161,6800,12601,10134,4799,19.8,36.7,29.5,14
WI,Polk,7241,16611,9370,26371,3620,490161,2031,11710,10956,6327,6.5,37.7,35.3,20.4
IA,Pottawattamie,7672,26247,18575,45744,9358,93206,6653,20861,22180,13396,10.5,33.1,35.2,21.2
IA,Poweshiek,1351,5657,4306,10140,1397,18504,846,4531,3676,3028,7,37.5,30.4,25.1
IA,Ringgold,1259,1968,709,2714,474,4894,268,1351,1140,715,7.7,38.9,32.8,20.6
IA,Sac,2672,4061,1389,5535,1146,9721,521,2606,2433,1441,7.4,37.2,34.8,20.6
AR,Scott,2479,2962,483,3551,569,172943,1468,2984,1858,631,21.1,43,26.8,9.1
IN,Scott,4630,7328,2698,10161,2339,172943,2627,7226,4547,1954,16.1,44.2,27.8,11.9
IA,Scott,-3243,43683,46926,92599,16277,172943,8215,34749,36288,37088,7.1,29.9,31.2,31.9
KS,Scott,1701,1991,290,2322,472,172943,506,922,971,794,15.8,28.9,30.4,24.9
MN,Scott,5832,45872,40040,87965,11862,172943,4801,20820,30145,36166,5.2,22.6,32.8,39.3
MO,Scott,10016,13769,3753,17719,3672,172943,4055,11081,7390,3821,15.4,42.1,28,14.5
TN,Scott,7018,8004,986,9052,1534,172943,3160,6699,3632,1392,21.2,45,24.4,9.4
AL,Shelby,46432,79700,33268,114950,17773,11454,11258,29106,42634,60424,7.8,20.3,29.7,42.1
IN,Shelby,9545,14568,5023,19991,4348,11454,3679,13118,7971,5977,12,42.7,25.9,19.4
IA,Shelby,2738,4697,1959,6795,1103,11454,665,2976,2895,1719,8.1,36.1,35.1,20.8
MO,Shelby,2108,2700,592,3350,346,11454,413,1777,1273,709,9.9,42.6,30.5,17
TN,Shelby,-116290,129815,246105,382055,78169,11454,72057,167979,180080,189720,11.8,27.5,29.5,31.1
TX,Shelby,5907,7975,2068,10084,822,11454,4072,5444,4438,2366,25,33.4,27.2,14.5
IA,Sioux,12661,15680,3019,19051,4635,34855,1885,6450,6449,5785,9.2,31.4,31.4,28.1
ND,Sioux,-546,258,804,1186,625,34855,380,762,843,385,16,32.2,35.6,16.2
IA,Story,-8835,20340,29175,51038,9041,97117,1474,9002,14101,25714,2.9,17.9,28,51.1
IA,Tama,1726,5303,3577,9048,1944,16854,1053,4654,4045,1875,9.1,40,34.8,16.1
GA,Taylor,1032,2420,1388,3842,443,6121,1232,2123,1673,635,21.8,37.5,29.5,11.2
IA,Taylor,1717,2463,746,3249,615,6121,422,1691,1559,642,9.8,39.2,36.1,14.9
KY,Taylor,6413,9376,2963,12517,2371,6121,2354,6530,4469,3175,14.2,39.5,27,19.2
TX,Taylor,24959,39547,14588,55112,6769,6121,9669,25030,27994,20366,11.6,30.1,33.7,24.5
WV,Taylor,3681,5477,1796,7383,836,6121,1432,5681,3104,2125,11.6,46,25.1,17.2
WI,Taylor,4964,7657,2693,10686,1758,6121,1594,6335,4042,2070,11.4,45.1,28.8,14.7
AR,Union,4894,10478,5584,16607,2583,12241,4129,9543,7769,5638,15.2,35.2,28.7,20.8
GA,Union,9850,12650,2800,15558,1777,12241,1958,6053,5721,3971,11.1,34.2,32.3,22.4
IN,Union,1952,2688,736,3483,636,12241,573,2413,1188,849,11.4,48,23.7,16.9
IA,Union,1949,4010,2061,6185,1146,12241,829,3078,3122,1461,9.8,36.3,36.8,17.2
KY,Union,3436,4965,1529,6577,1153,12241,1206,4385,2913,1056,12.6,45.9,30.5,11
NJ,Union,-90243,80002,170245,254041,44738,12241,51661,107744,84165,131578,13.8,28.7,22.4,35.1
NM,Union,1005,1388,383,1789,376,12241,616,1295,774,389,20,42.1,25.2,12.7
NC,Union,31657,80382,48725,131011,16999,12241,14675,35959,43240,50162,10.2,25,30,34.8
OR,Union,6044,10298,4254,14944,941,12241,1332,5656,6042,4287,7.7,32.7,34.9,24.8
PA,Union,4881,12356,7475,20115,3527,12241,4159,11856,6723,7800,13.6,38.8,22,25.5
SC,Union,3248,8183,4935,13257,2010,12241,3640,7795,5778,2378,18.6,39.8,29.5,12.1
SD,Union,3219,5944,2725,8855,1599,12241,850,2886,3517,3174,8.2,27.7,33.7,30.4
TN,Union,5554,6803,1249,8123,1301,12241,3236,6263,2954,1162,23.8,46,21.7,8.5
AR,Van Buren,4441,6034,1593,7807,767,7044,1741,5387,3412,1730,14.2,43.9,27.8,14.1
IA,Van Buren,1984,2859,875,3791,516,7044,505,2048,1758,710,10.1,40.8,35,14.1
MI,Van Buren,4788,21591,16803,39066,4491,7044,6587,16350,17631,10739,12.8,31.9,34.4,20.9
TN,Van Buren,1798,2342,544,2921,579,7044,855,2115,914,363,20.1,49.8,21.5,8.5
IA,Wapello,3695,9516,5821,15633,3601,34969,2904,8591,8258,4322,12.1,35.7,34.3,18
GA,Warren,-302,1166,1468,2650,341,51466,1038,1664,695,527,26.5,42.4,17.7,13.4
IN,Warren,2427,3401,974,4472,705,51466,497,2541,1732,1109,8.5,43.2,29.5,18.9
IA,Warren,5208,17782,12574,31039,4775,51466,1397,9806,10861,10241,4.3,30.4,33.6,31.7
KY,Warren,9312,31791,22479,55401,13367,51466,9417,21486,22249,23437,12.3,28.1,29,30.6
MO,Warren,8453,13222,4769,18375,2494,51466,2823,8915,7183,4317,12.1,38.4,30.9,18.6
NJ,Warren,9868,34769,24901,61057,5529,51466,6661,23753,20971,24010,8.8,31.5,27.8,31.8
NY,Warren,57,17699,17642,36131,2461,51466,3989,15212,14250,14339,8.3,31.8,29.8,30
NC,Warren,-2648,3752,6400,10293,1365,51466,2813,4909,4456,2239,19.5,34.1,30.9,15.5
PA,Warren,8171,14237,6066,20650,1673,51466,2178,13505,7981,5644,7.4,46.1,27.2,19.3
TN,Warren,7926,11850,3924,16009,4514,51466,5794,11915,6133,3879,20.9,43,22.1,14
AL,Washington,4306,6564,2258,8876,1056,21965,2243,4954,2996,1276,19.6,43.2,26.1,11.1
AR,Washington,3680,47504,43824,94266,21405,21965,20771,36295,35712,45385,15,26.3,25.8,32.8
GA,Washington,-75,4668,4743,9477,1487,21965,2805,6012,3344,1975,19.8,42.5,23.7,14
ID,Washington,3081,4154,1073,5344,837,21965,998,2576,2442,1043,14.1,36.5,34.6,14.8
IN,Washington,6330,9114,2784,12139,1956,21965,2967,8387,5327,2535,15.4,43.6,27.7,13.2
IA,Washington,2410,6971,4561,11765,2285,21965,1336,5888,4537,3214,8.9,39.3,30.3,21.5
KS,Washington,1865,2332,467,2843,472,21965,362,1461,1273,788,9.3,37.6,32.8,20.3
ME,Washington,3433,10194,6761,17357,408,21965,2710,9099,6645,4854,11.6,39,28.5,20.8
MD,Washington,14180,40224,26044,67779,11471,21965,13723,37982,30357,22409,13.1,36.4,29.1,21.4
MN,Washington,-15401,73764,89165,166786,20017,21965,6889,35951,53768,73505,4,21.1,31.6,43.2
MO,Washington,6243,8047,1804,9976,2073,21965,4026,6679,4930,1615,23.3,38.7,28.6,9.4
NY,Washington,4376,15941,11565,28138,1875,21965,5519,17111,13058,9151,12.3,38.2,29.1,20.4
NC,Washington,-615,2781,3396,6205,765,21965,1683,2998,2759,946,20.1,35.8,32.9,11.3
OR,Washington,-110867,99073,209940,320326,0,21965,33294,69211,120704,173384,8.4,17.5,30.4,43.7
PA,Washington,26992,72080,45088,118478,8338,21965,10551,56878,37408,43968,7.1,38.2,25.1,29.5
TN,Washington,21806,40444,18638,60203,10784,21965,9861,24962,23877,28075,11.4,28.8,27.5,32.4
TX,Washington,8698,12959,4261,17418,2738,21965,3302,7554,6541,5790,14.2,32.6,28.2,25
UT,Washington,46764,67294,20530,90476,18884,21965,7654,23856,42537,28437,7.5,23.3,41.5,27.7
WI,Washington,33587,60237,26650,88070,13286,21965,4939,28658,31889,28989,5.2,30.3,33.8,30.7
GA,Wayne,7299,9987,2688,12779,2349,6441,3626,8132,5713,2579,18.1,40.6,28.5,12.9
IN,Wayne,8043,17567,9524,27679,6326,6441,6050,17383,13946,8312,13.2,38,30.5,18.2
IA,Wayne,1611,2338,727,3109,427,6441,484,1951,1361,566,11.1,44.7,31.2,13
KY,Wayne,5730,7430,1700,9240,1943,6441,4115,5482,3179,1879,28.1,37.4,21.7,12.8
MI,Wayne,-332617,264553,597170,872469,90597,6441,166003,353763,383495,275102,14.1,30,32.5,23.3
MO,Wayne,4142,4987,845,5878,790,6441,2384,3613,2654,988,24.7,37.5,27.5,10.3
NY,Wayne,8748,26204,17456,44714,4125,6441,6738,22077,20784,14229,10.6,34.6,32.6,22.3
NC,Wayne,6494,30709,24215,55537,7979,6441,13051,25056,27947,16051,15.9,30.5,34,19.5
PA,Wayne,9446,18637,9191,28089,2490,6441,3981,17118,10049,7971,10.2,43.8,25.7,20.4
TN,Wayne,4975,5795,820,6669,2269,6441,2477,5417,2939,1363,20.3,44.4,24.1,11.2
UT,Wayne,864,1229,365,1621,109,6441,213,404,765,466,11.5,21.9,41.4,25.2
WV,Wayne,8497,12585,4088,16947,2001,6441,5855,11648,7136,4386,20.2,40.1,24.6,15.1
GA,Webster,108,748,640,1391,87,35904,405,809,379,211,22.5,44.8,21,11.7
IA,Webster,4325,10938,6613,17822,4776,35904,2274,8433,9181,4857,9.2,34.1,37.1,19.6
KY,Webster,3094,4506,1412,5993,1032,35904,1687,4177,2310,892,18.6,46.1,25.5,9.8
MO,Webster,11307,14880,3573,18779,2930,35904,3260,9500,7777,4180,13.2,38.4,31.5,16.9
WV,Webster,2149,2759,610,3402,190,35904,1292,3088,1254,581,20.8,49.7,20.2,9.3
IA,Winnebago,1572,3707,2135,5970,1248,10354,591,2398,2604,1612,8.2,33.3,36.1,22.4
WI,Winnebago,3736,47796,44060,94032,16552,10354,8243,38404,36399,31210,7.2,33.6,31.9,27.3
IA,Winneshiek,618,6235,5617,12064,1658,19991,716,4397,4332,3989,5.3,32.7,32.2,29.7
IA,Woodbury,7032,25736,18704,45362,13270,103107,8688,21064,20583,15047,13.3,32.2,31.5,23
GA,Worth,4435,6830,2395,9285,1098,7381,2659,5932,4124,1470,18.7,41.8,29.1,10.4
IA,Worth,1142,2738,1596,4418,628,7381,380,1962,2107,819,7.2,37.2,40,15.5
MO,Worth,662,877,215,1107,137,7381,191,622,407,259,12.9,42.1,27.5,17.5
IA,Wright,2140,4136,1996,6254,1689,12562,725,3187,3404,1573,8.2,35.9,38.3,17.7
MN,Wright,23543,51973,28430,82426,11005,12562,4727,24875,31554,24210,5.5,29.1,37,28.4
MO,Wright,6285,7453,1168,8739,1331,12562,2380,5490,3135,1410,19.2,44.2,25.3,11.4
IN,Allen,18894,92083,73189,169082,33776,12369,25762,68899,77628,67527,10.7,28.7,32.4,28.2
KS,Allen,2596,4155,1559,5842,112,12369,697,2918,3222,1757,8.1,34,37.5,20.4
KS,Anderson,2109,2874,765,3720,167,7858,454,2161,1682,913,8.7,41.5,32.3,17.5
SC,Anderson,40396,67565,27169,96093,16482,7858,20842,41963,42757,28714,15.5,31.3,31.8,21.4
TN,Anderson,11443,23184,11741,35570,5688,7858,7138,17882,16292,12661,13.2,33.1,30.2,23.5
TX,Anderson,11155,15110,3955,19227,4644,7858,8351,15224,13503,4931,19.9,36.2,32.1,11.7
KS,Atchison,2512,4826,2314,7312,1251,16073,761,3785,3311,2208,7.6,37.6,32.9,21.9
MO,Atchison,1635,2199,564,2814,289,16073,369,1553,1119,885,9.4,39.6,28.5,22.5
KS,Barber,1708,1992,284,2313,171,4427,280,1151,1265,605,8.5,34.9,38.3,18.3
KS,Barton,6178,8480,2302,10961,2341,25779,2052,5856,6822,3319,11.4,32.4,37.8,18.4
MO,Barton,4324,5168,844,6077,920,25779,1030,3454,2130,1460,12.8,42.8,26.4,18.1
KS,Bourbon,3405,4910,1505,6550,303,14534,846,2948,3802,1972,8.8,30.8,39.7,20.6
IN,Brown,2741,5777,3036,8981,906,9564,992,3682,3527,3088,8.8,32.6,31.2,27.4
KS,Brown,2118,3206,1088,4396,1083,9564,484,2355,2278,1425,7.4,36,34.8,21.8
MN,Brown,4799,9552,4753,14635,2182,9564,1285,6502,5979,3519,7.4,37.6,34.6,20.4
SD,Brown,4042,10580,6538,17547,4461,9564,1746,7804,8504,7497,6.8,30.5,33.3,29.3
TX,Brown,11591,13698,2107,15969,1822,9564,3564,9180,8006,4972,13.9,35.7,31.1,19.3
WI,Brown,10360,75871,65511,144017,29328,9564,13920,52309,55532,51205,8,30.2,32.1,29.6
AL,Butler,1493,5458,3965,9488,1679,66911,2141,6091,3421,2235,15.4,43.9,24.6,16.1
IA,Butler,3118,5542,2424,8098,1538,66911,760,3928,3893,1823,7.3,37.8,37.4,17.5
KS,Butler,13247,22250,9003,31946,5345,66911,3250,11557,16109,12644,7.5,26.5,37,29
KY,Butler,3881,4960,1079,6125,1189,66911,1970,3844,2049,1132,21.9,42.7,22.8,12.6
MO,Butler,11301,14602,3301,18141,3231,66911,5072,10505,9589,4040,17.4,36,32.8,13.8
PA,Butler,36851,74359,37508,113305,8314,66911,7163,43787,34339,46776,5.4,33.2,26,35.4
KS,Chase,773,1114,341,1478,262,2648,185,503,741,394,10.1,27.6,40.6,21.6
KS,Chautauqua,1185,1397,212,1634,181,3250,310,870,855,411,12.7,35.6,35,16.8
NY,Chautauqua,11766,34853,23087,59304,6514,3250,9985,32222,28129,19522,11.1,35.9,31.3,21.7
AL,Cherokee,8959,10583,1624,12301,1115,19939,3692,7157,5417,2407,19.8,38.3,29,12.9
GA,Cherokee,56806,99585,42779,144815,18074,19939,13931,36896,51003,59717,8.6,22.8,31.6,37
IA,Cherokee,2559,4495,1936,6518,1409,19939,615,2968,2907,1766,7.4,35.9,35.2,21.4
KS,Cherokee,4459,6622,2163,8945,1656,19939,1535,4674,5071,2661,11,33.5,36.4,19.1
NC,Cherokee,9045,12628,3583,16423,1688,19939,2912,7354,6879,4086,13.7,34.6,32.4,19.2
SC,Cherokee,11060,18043,6983,25270,4386,19939,7755,13944,11097,5270,20.4,36.6,29.2,13.8
TX,Cherokee,10891,15101,4210,19508,2157,19939,6989,10640,10483,5708,20.7,31.5,31,16.9
KS,Cheyenne,938,1158,220,1400,223,2657,124,577,708,503,6.5,30.2,37,26.3
AR,Clark,1178,4616,3438,8395,1514,1994,1422,4021,4090,3642,10.8,30.5,31,27.6
ID,Clark,223,264,41,311,44,1994,232,140,128,92,39.2,23.6,21.6,15.5
IN,Clark,10575,33668,23093,57869,11206,1994,8607,27298,27219,16676,10.8,34.2,34.1,20.9
KS,Clark,742,885,143,1048,123,1994,91,389,487,445,6.4,27.5,34.5,31.5
MO,Clark,1994,2672,678,3394,443,1994,714,2101,1320,644,14.9,44,27.6,13.5
NV,Clark,-90922,430930,521852,972510,214780,1994,208782,415643,483389,347159,14.3,28.6,33.2,23.9
SD,Clark,936,1373,437,1850,295,1994,222,999,795,460,9,40.3,32.1,18.6
WA,Clark,-14021,126303,140324,275403,17281,1994,23932,74791,120819,93232,7.7,23.9,38.6,29.8
WI,Clark,5478,10002,4524,14898,3103,1994,3927,9018,6258,2484,18.1,41.6,28.9,11.5
AL,Clay,4334,5601,1267,6930,1073,8002,2275,3366,2700,944,24.5,36.3,29.1,10.2
AR,Clay,3124,4086,962,5183,1201,8002,2047,4363,2944,1228,19.3,41.2,27.8,11.6
GA,Clay,-154,637,791,1435,171,8002,443,927,647,173,20.2,42.3,29.5,7.9
IN,Clay,6947,9499,2552,12267,2293,8002,1520,8082,5530,3061,8.4,44.4,30.4,16.8
IA,Clay,3475,6137,2662,8969,1761,8002,745,3906,4210,2584,6.5,34.1,36.8,22.6
KS,Clay,2246,3129,883,4134,787,8002,397,1688,2044,1542,7,29.8,36,27.2
MN,Clay,-1314,15043,16357,32239,6543,8002,1950,9675,13699,12747,5.1,25.4,36,33.5
MO,Clay,5205,64605,59400,126569,7502,8002,11012,46437,50816,52696,6.8,28.8,31.6,32.7
NC,Clay,3413,5112,1699,6893,536,8002,958,2834,2616,1890,11.5,34.2,31.5,22.8
SD,Clay,-627,2456,3083,5698,1601,8002,286,1510,1793,3372,4.1,21.7,25.8,48.4
TN,Clay,1998,2733,735,3506,673,8002,1084,2579,1114,818,19.4,46.1,19.9,14.6
TX,Clay,4455,5069,614,5741,874,8002,703,2958,2440,1393,9.4,39.5,32.6,18.6
WV,Clay,2038,2679,641,3365,311,8002,1503,3302,785,586,24.3,53.5,12.7,9.5
KS,Cloud,2289,3182,893,4174,952,8786,520,1855,2335,1367,8.6,30.5,38.4,22.5
KS,Coffey,2479,3407,928,4448,574,8179,394,1948,2160,1337,6.7,33.4,37,22.9
KS,Comanche,619,745,126,904,154,1700,92,418,528,237,7.2,32.8,41.4,18.6
TX,Comanche,4324,5177,853,6086,939,1700,1530,3419,2625,1866,16.2,36.2,27.8,19.8
KS,Cowley,5271,9442,4171,13911,1267,34908,2370,7201,9136,4718,10.1,30.7,39,20.1
AR,Crawford,13648,18607,4959,24091,5077,38818,6227,15708,13588,6432,14.8,37.4,32.4,15.3
GA,Crawford,2813,4428,1615,6102,466,38818,1447,3458,2967,907,16.5,39.4,33.8,10.3
IN,Crawford,2128,3483,1355,4944,839,38818,1331,3447,1832,854,17.8,46.2,24.5,11.4
IA,Crawford,2634,4854,2220,7154,2394,38818,2481,4021,3234,1428,22.2,36,29,12.8
KS,Crawford,3866,10045,6179,16718,4222,38818,2122,6598,7759,6880,9.1,28.2,33.2,29.5
MI,Crawford,2415,5087,2672,7861,531,38818,1142,3512,3795,1950,11,33.8,36.5,18.8
MO,Crawford,6612,8725,2113,10973,1994,38818,3868,6631,4464,1893,22.9,39.3,26.5,11.2
PA,Crawford,15635,28559,12924,42004,4794,38818,6397,27728,13318,12459,10.7,46.3,22.2,20.8
WI,Crawford,667,4620,3953,8695,1639,38818,1053,4682,3847,2074,9,40.2,33,17.8
GA,Decatur,1973,6755,4782,11625,1972,2827,3272,6428,5505,2592,18.4,36.1,30.9,14.6
IN,Decatur,7136,9575,2439,12287,2551,2827,1612,7798,4897,3493,9.1,43.8,27.5,19.6
IA,Decatur,1495,2615,1120,3804,514,2827,550,1828,1342,1143,11.3,37.6,27.6,23.5
KS,Decatur,1024,1232,208,1458,201,2827,188,702,763,507,8.7,32.5,35.3,23.5
TN,Decatur,3325,4229,904,5241,1147,2827,1375,3651,2254,1064,16.5,43.8,27,12.8
IA,Dickinson,3777,7438,3661,11244,1912,18466,535,3558,4609,3972,4.2,28.1,36.4,31.3
KS,Dickinson,5005,7045,2040,9246,1625,18466,1226,4397,4590,2893,9.4,33.5,35,22.1
MI,Dickinson,4873,9617,4744,14589,2096,18466,972,6279,6412,4937,5.2,33.8,34.5,26.5
KS,Doniphan,2271,2949,678,3674,723,7600,505,1824,1756,980,10,36,34.7,19.3
GA,Douglas,-17360,25454,42814,69106,9674,122259,10972,28029,27480,24762,12,30.7,30.1,27.1
KS,Douglas,-22699,16737,39436,57540,8096,122259,3066,12342,18581,34502,4.5,18,27.1,50.4
MN,Douglas,7931,15799,7868,24165,3645,122259,1318,7857,10615,6747,5,29.6,40,25.4
MO,Douglas,4882,5898,1016,7000,747,122259,1796,4289,2544,1008,18.6,44.5,26.4,10.5
NV,Douglas,10059,21630,11571,34125,2394,122259,2284,8797,14903,10552,6.3,24.1,40.8,28.9
OR,Douglas,24138,43298,19160,64349,0,122259,8699,25912,31547,13706,10.9,32.4,39.5,17.2
SD,Douglas,1252,1468,216,1707,373,122259,256,759,705,351,12.4,36.6,34,16.9
WA,Douglas,5144,12955,7811,21308,1644,122259,4919,7855,9086,5201,18.2,29,33.6,19.2
WI,Douglas,-2295,10923,13218,24677,3563,122259,2031,9580,11841,7388,6.6,31.1,38.4,24
KS,Edwards,860,1127,267,1413,261,2798,329,571,820,375,15.7,27.3,39.1,17.9
TX,Edwards,725,893,168,1066,193,2798,363,434,387,311,24.3,29,25.9,20.8
KS,Elk,939,1130,191,1347,84,2530,250,764,595,284,13.2,40.4,31.4,15
PA,Elk,7618,12140,4522,16906,1157,2530,1721,10847,5635,4167,7.7,48.5,25.2,18.6
KS,Ellis,5936,9569,3633,13501,3247,28553,1273,4617,5480,6079,7.3,26.5,31.4,34.8
TX,Ellis,29152,56717,27565,85493,16240,28553,15495,30531,37049,24996,14.3,28.3,34.3,23.1
KS,Ellsworth,1460,2106,646,2806,1168,6102,400,1544,1675,925,8.8,34,36.9,20.4
KS,Finney,2924,7079,4155,11466,5897,36467,6275,4676,6959,3686,29.1,21.7,32.2,17.1
KS,Ford,2837,5763,2926,8850,1738,33619,5830,5085,5918,3605,28.5,24.9,29,17.6
AL,Franklin,8290,10376,2086,12578,3227,25544,4835,7666,5632,2679,23.2,36.8,27.1,12.9
AR,Franklin,4377,5677,1300,7129,1135,25544,2106,4844,3701,1423,17.4,40.1,30.7,11.8
GA,Franklin,7476,9069,1593,10765,2118,25544,3072,6169,4047,2077,20,40.1,26.3,13.5
ID,Franklin,5188,5845,657,6664,810,25544,694,2869,2909,1427,8.8,36.3,36.8,18.1
IN,Franklin,7554,9691,2137,12000,1538,25544,1845,6674,3986,3083,11.8,42.8,25.6,19.8
IA,Franklin,1796,3422,1626,5130,1057,25544,672,2566,2629,1264,9.4,36,36.9,17.7
KS,Franklin,4703,8326,3623,12247,2248,25544,1261,6615,5812,3315,7.4,38.9,34.2,19.5
ME,Franklin,685,8754,8069,17390,628,25544,1584,8013,6475,5474,7.4,37.2,30.1,25.4
MA,Franklin,-18829,11201,30030,42458,1787,25544,3670,14911,14843,19786,6.9,28,27.9,37.2
MO,Franklin,23489,38058,14569,53685,8052,25544,8476,23225,24949,14241,12,32.8,35.2,20.1
NY,Franklin,415,9668,9253,19268,1571,25544,4702,13421,10631,6934,13.2,37.6,29.8,19.4
NC,Franklin,5022,20901,15879,37351,4546,25544,7114,13198,14976,9526,15.9,29.5,33.4,21.3
PA,Franklin,34823,57245,22422,80783,10040,25544,13451,45685,25413,22455,12.6,42.7,23.7,21
TN,Franklin,9123,13987,4864,19132,3706,25544,3616,11350,7516,5876,12.8,40,26.5,20.7
TX,Franklin,3357,4161,804,5009,432,25544,820,2175,2550,1715,11.3,30,35.1,23.6
WA,Franklin,4699,18039,13340,32404,10287,25544,13130,13527,16428,9026,25.2,26,31.5,17.3
