State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
MI,Osceola,5714,8928,3214,12329,865,23460,1914,7187,4894,2242,11.8,44.3,30.1,13.8
MI,Oscoda,2124,3466,1342,4874,310,8241,1030,2323,2160,661,16.7,37.6,35,10.7
MI,Otsego,5036,9779,4743,14757,1103,24668,1357,5847,5869,4170,7.9,33.9,34,24.2
NY,Otsego,1407,14382,12975,28008,2011,24668,3497,12780,11305,12325,8.8,32,28.3,30.9
KS,Ottawa,2077,2581,504,3159,533,291830,240,1500,1402,963,5.8,36.5,34.2,23.5
MI,Ottawa,36208,100913,64705,168713,20117,291830,12913,50168,53777,58810,7.4,28.6,30.6,33.5
MI,Presque Isle,2431,5342,2911,8344,552,12592,1085,3932,3233,1726,10.9,39.4,32.4,17.3
MI,Roscommon,4504,9670,5166,15018,962,24019,1908,7691,6475,2816,10.1,40.7,34.3,14.9
MI,Saginaw,-303,50785,51088,103349,14555,190539,13876,44370,45954,27827,10.5,33.6,34.8,21.1
AL,St. Clair,28422,36166,7744,44441,6893,159128,9255,21865,19587,9991,15.2,36,32.3,16.5
IL,St. Clair,-11175,57150,68325,128104,25947,159128,16396,50928,62152,48663,9.2,28.6,34.9,27.3
MI,St. Clair,27822,59185,31363,92064,7098,159128,10689,38628,42500,20564,9.5,34.4,37.8,18.3
MO,St. Clair,2944,3932,988,4974,562,159128,1105,2958,1965,935,15.9,42.5,28.2,13.4
IN,St. Joseph,-6732,53164,59896,115238,28004,60964,20253,53751,50092,51236,11.6,30.7,28.6,29.2
MI,St. Joseph,8865,18127,9262,27936,3977,60964,5258,15559,13546,6416,12.9,38.2,33.2,15.7
MI,Sanilac,10228,16194,5966,22446,1718,41170,3554,12140,9431,4144,12.1,41.5,32.2,14.2
MI,Schoolcraft,1501,3090,1589,4745,226,8094,602,2695,1826,963,9.9,44.3,30,15.8
MI,Shiawassee,7802,23149,15347,39224,3397,68122,3613,17352,18633,8215,7.6,36.3,39,17.2
MI,Tuscola,11585,20297,8712,29445,2702,52245,4045,15824,12905,5180,10.7,41.7,34,13.6
AR,Van Buren,4441,6034,1593,7807,767,75677,1741,5387,3412,1730,14.2,43.9,27.8,14.1
IA,Van Buren,1984,2859,875,3791,516,75677,505,2048,1758,710,10.1,40.8,35,14.1
MI,Van Buren,4788,21591,16803,39066,4491,75677,6587,16350,17631,10739,12.8,31.9,34.4,20.9
TN,Van Buren,1798,2342,544,2921,579,75677,855,2115,914,363,20.1,49.8,21.5,8.5
MI,Washtenaw,-100895,56241,157136,216418,15884,367601,10800,33896,57051,125423,4.8,14.9,25.1,55.2
GA,Wayne,7299,9987,2688,12779,2349,1749343,3626,8132,5713,2579,18.1,40.6,28.5,12.9
IN,Wayne,8043,17567,9524,27679,6326,1749343,6050,17383,13946,8312,13.2,38,30.5,18.2
IA,Wayne,1611,2338,727,3109,427,1749343,484,1951,1361,566,11.1,44.7,31.2,13
KY,Wayne,5730,7430,1700,9240,1943,1749343,4115,5482,3179,1879,28.1,37.4,21.7,12.8
MI,Wayne,-332617,264553,597170,872469,90597,1749343,166003,353763,383495,275102,14.1,30,32.5,23.3
MO,Wayne,4142,4987,845,5878,790,1749343,2384,3613,2654,988,24.7,37.5,27.5,10.3
NY,Wayne,8748,26204,17456,44714,4125,1749343,6738,22077,20784,14229,10.6,34.6,32.6,22.3
NC,Wayne,6494,30709,24215,55537,7979,1749343,13051,25056,27947,16051,15.9,30.5,34,19.5
PA,Wayne,9446,18637,9191,28089,2490,1749343,3981,17118,10049,7971,10.2,43.8,25.7,20.4
TN,Wayne,4975,5795,820,6669,2269,1749343,2477,5417,2939,1363,20.3,44.4,24.1,11.2
UT,Wayne,864,1229,365,1621,109,1749343,213,404,765,466,11.5,21.9,41.4,25.2
WV,Wayne,8497,12585,4088,16947,2001,1749343,5855,11648,7136,4386,20.2,40.1,24.6,15.1
MI,Wexford,6264,12102,5838,18265,1238,33631,2408,8426,7966,4099,10.5,36.8,34.8,17.9
MN,Aitkin,2651,6258,3607,10025,1100,15886,1111,4665,4432,2157,9,37.7,35.8,17.4
MN,Anoka,4009,104902,100893,211132,29269,356921,14385,65852,85702,70007,6.1,27.9,36.3,29.7
MN,Becker,5849,12438,6589,19401,2854,34423,1697,7379,8358,5644,7.4,32,36.2,24.5
MN,Beltrami,762,12188,11426,24189,2985,47188,2437,7906,9914,7907,8.7,28.1,35.2,28.1
AR,Benton,31716,73965,42249,119912,19282,40889,20120,49182,44756,54780,11.9,29.1,26.5,32.4
IN,Benton,1998,3007,1009,4114,890,40889,614,2516,1710,985,10.5,43.2,29.4,16.9
IA,Benton,4028,9188,5160,14642,2181,40889,1085,6420,6167,3999,6.1,36.3,34.9,22.6
MN,Benton,7102,14382,7280,22260,4094,40889,2027,8233,10274,5979,7.6,31.1,38.8,22.6
MO,Benton,5929,8109,2180,10476,1392,40889,2068,5974,4632,1965,14.1,40.8,31.6,13.4
OR,Benton,-20949,14878,35827,52799,0,40889,2479,7563,15157,29165,4.6,13.9,27.9,53.6
TN,Benton,4139,5668,1529,7260,1177,40889,2263,5500,2576,1484,19.1,46.5,21.8,12.6
WA,Benton,21659,60365,38706,103033,13804,40889,12365,30438,45039,37566,9.9,24.3,35.9,30
MN,Big Stone,810,1863,1053,2974,457,4991,357,1586,1158,549,9.8,43.5,31.7,15
MN,Blue Earth,-1599,16731,18330,36051,5503,67653,2259,10298,13039,12940,5.9,26.7,33.8,33.6
IN,Brown,2741,5777,3036,8981,906,25008,992,3682,3527,3088,8.8,32.6,31.2,27.4
KS,Brown,2118,3206,1088,4396,1083,25008,484,2355,2278,1425,7.4,36,34.8,21.8
MN,Brown,4799,9552,4753,14635,2182,25008,1285,6502,5979,3519,7.4,37.6,34.6,20.4
